Iteration,Dimension,DE_ML,PSO_ML,RS_ML
0,5.0,-103406.27194073968,-116812.87550326867,-172950.3618645355
0,10.0,-242699.85851968362,-307373.2181515653,-716167.9723082414
0,15.0,-3587482.0914458493,-602728.4016707566,-3577498.3015358243
0,20.0,-6437604.159273173,-1248328.006383266,-6437604.159273173
1,5.0,-102249.73091231512,-116753.71172491484,-153871.6601975267
1,10.0,-265690.87691178854,-307681.1891056229,-510705.2572439904
1,15.0,-376268.87357904593,-709115.8879024796,-3587130.2080557514
1,20.0,-6437604.159273173,-6437604.159273173,-6407277.343720011
2,5.0,-103406.27194088453,-105424.54475745476,-167490.56799182983
2,10.0,-230258.2864226301,-381141.8843253769,-835681.370192089
2,15.0,-386043.69337899395,-1373125.1276270468,-3528038.1307866075
2,20.0,-6437604.159273173,-6437604.159273173,-6437604.159273173
3,5.0,-102249.73091204964,-106123.00301749172,-155871.93469620016
3,10.0,-239935.85153055744,-285981.9961193646,-768178.3980645781
3,15.0,-398972.6119017602,-643835.0537760425,-3587410.038174817
3,20.0,-6437604.159273173,-6437604.159273173,-6437604.159273173
4,5.0,-105779.01643104978,-106124.1695839125,-174705.4294937845
4,10.0,-269038.4549252477,-310789.6525790203,-523815.25752356387
4,15.0,-3587482.0914458493,-427411.3447086245,-1954361.5483973334
4,20.0,-6437604.159273173,-6437604.159273173,-6437550.551604666
5,5.0,-106114.63365041396,-113736.74636275445,-143674.25425490882
5,10.0,-229408.81975710962,-239616.79289118922,-472242.5072674795
5,15.0,-453206.3363266383,-717002.0842191413,-3586883.228502646
5,20.0,-6437604.159273173,-4300637.167125317,-6437604.159273113
6,5.0,-102249.73091204962,-106197.37113341289,-188453.19378046342
6,10.0,-229408.89907700647,-301061.34991472226,-773062.6438424187
6,15.0,-393902.9885088265,-554028.2091869961,-2184277.0484436983
6,20.0,-6437604.159273173,-4348742.808104602,-6437604.159273173
7,5.0,-102249.73091211451,-102346.43746138031,-151035.95574807402
7,10.0,-229408.90161689545,-258685.39413726825,-669864.3879860315
7,15.0,-369819.8270223953,-572179.2043464808,-3515892.4902732
7,20.0,-679012.0088193258,-6437604.150675372,-6437604.159273173
8,5.0,-106114.63365042573,-104458.73885808839,-220219.71469824464
8,10.0,-243101.7708209319,-244516.29223637507,-569719.3533003547
8,15.0,-409640.83979600156,-524310.7361962539,-2954176.6845999868
8,20.0,-6437604.159273173,-6437604.159273173,-6437604.159273173
9,5.0,-117818.3250699576,-102813.85166269826,-198038.5648894654
9,10.0,-264484.48650801025,-339414.2572255639,-609108.784618207
9,15.0,-394592.45939131104,-557062.9074728255,-3583480.501189199
9,20.0,-6437604.159273173,-6437604.159273173,-6437604.159273173
10,5.0,-117883.26282940275,-102265.09763926904,-185006.5353579898
10,10.0,-229408.89974725872,-227985.12162875847,-618539.0162275406
10,15.0,-3587482.0914458493,-506592.08604042017,-3520172.348008457
10,20.0,-6437604.159273173,-6380533.646625909,-6437604.159273173
11,5.0,-127316.89475931526,-105799.8518966689,-166130.56826830466
11,10.0,-255617.25060886636,-282605.79348672833,-413159.57335504255
11,15.0,-463615.6668242048,-672004.4128885216,-3002789.4114925256
11,20.0,-6437604.159273173,-6437604.159273173,-6437604.159273173
12,5.0,-106114.63365046674,-102655.0572154613,-147324.87181501772
12,10.0,-227346.39059835413,-276029.96520900755,-764788.1389686533
12,15.0,-467430.1692724795,-602972.1723856783,-1726365.7601445708
12,20.0,-6437604.159273173,-1151045.0521107223,-6437362.96728515
13,5.0,-102249.73091223961,-125901.27561671959,-147747.5050131999
13,10.0,-228065.45233760547,-341133.85960063466,-502082.80280243396
13,15.0,-544092.6589830371,-530514.8568834381,-3464612.950391666
13,20.0,-6437604.159273173,-6437604.159273173,-6437604.159273173
14,5.0,-112724.80386802321,-117498.49887462988,-163637.708356693
14,10.0,-240232.8143732367,-253362.19451174585,-578148.6594145558
14,15.0,-371288.9596162062,-883135.7270372825,-3569840.2620355417
14,20.0,-6437604.159273173,-6425111.459242464,-6437604.159273173
15,5.0,-102249.73091222515,-102258.86893179831,-159095.95286606197
15,10.0,-253174.2351270225,-285509.9417482336,-512102.4225986203
15,15.0,-465078.5509267644,-3527837.2098035743,-3293996.1303102807
15,20.0,-513779.5851707421,-6437604.159273173,-6437603.510860552
16,5.0,-114872.82580919746,-105791.79160805292,-146913.02133086696
16,10.0,-270459.58519069984,-258507.62656353944,-618139.6498981385
16,15.0,-410395.6742320541,-3587482.0914458493,-3041537.6628128206
16,20.0,-6437604.159273173,-6437604.159273173,-6437604.159273173
17,5.0,-105779.01643337916,-106656.45813214305,-148205.41069246698
17,10.0,-220109.12125526922,-246701.72828678458,-661912.4465981539
17,15.0,-444619.4944554713,-543205.9130197574,-3321635.265380349
17,20.0,-6437604.159273173,-1979809.9609953067,-6342839.809316957
18,5.0,-105779.0164310763,-102339.3205211857,-154884.6146333965
18,10.0,-279438.53209708957,-289022.4784099123,-413102.67097395816
18,15.0,-400308.50232577935,-587355.7733414493,-3435123.6807536697
18,20.0,-6437604.159273173,-4607159.0447700685,-6437239.091759902
19,5.0,-102249.73091205474,-122476.19715458078,-142270.56566597064
19,10.0,-235994.34084622562,-245801.45090749417,-428224.030386779
19,15.0,-435010.6023620567,-522863.014234302,-3524013.19076876
19,20.0,-621039.9704396597,-6437604.159273173,-6437604.159273173
