,DE,RS,PSO,n
0,-5316.674214491863,-5329.425246710904,-5315.411699467959,10
1,-5315.400923006423,-5634.163703746113,-5315.439651828215,10
2,-6532.727249093177,-5598.554029577386,-5315.401075066015,10
3,-5315.400922954606,-6144.195616271176,-5315.4089100659685,10
4,-5315.400924131463,-5781.926018136594,-5315.414184552414,10
5,-5315.400922992017,-5692.631040627723,-5315.4303307843775,10
6,-5315.400923222463,-6160.898475085672,-5315.402653677892,10
7,-5315.400924130468,-5400.932453899472,-5315.417188538742,10
8,-5315.400923314415,-5524.787539002602,-5315.401818237565,10
9,-5315.400923181208,-5596.646833825867,-5315.405151453045,10
10,-5315.400923070234,-5584.1395219218175,-5315.443313952066,10
11,-5315.51553559674,-5686.364064777989,-5315.721413404276,10
12,-5315.400922941546,-5429.183192802234,-5315.443049025359,10
13,-5315.400925244537,-5549.842658490814,-5315.409561252604,10
14,-5315.400922944799,-5727.288431375613,-5315.408550458787,10
15,-5315.400923343348,-5816.166602405346,-5315.40166133416,10
16,-5315.400922944388,-5503.706602349236,-5315.407888028563,10
17,-5315.400922984373,-5555.413491636888,-5315.404147798063,10
18,-5315.400923165477,-5800.069653009139,-5315.433662399345,10
19,-5315.400923190217,-5415.637204609855,-5315.410583954701,10
20,-26606.71668500022,-30302.469184457736,-26606.733071834755,50
21,-26606.716684991803,-27710.20648032949,-26606.74932009068,50
22,-26606.716684992112,-26647.57276787526,-26607.055177723425,50
23,-26606.7166849934,-28230.02337232137,-26606.876524277803,50
24,-26606.71668499177,-36509.48317968583,-26613.11174054335,50
25,-26606.716684991618,-28320.426212458944,-26606.73201543404,50
26,-26606.716684991727,-30875.210378024258,-26607.06807496463,50
27,-26606.716684992,-35988.297065938445,-26606.73056434429,50
28,-26606.71668499148,-35029.3596051474,-26606.75820331849,50
29,-26606.716684991858,-27377.426969034328,-26607.0022586166,50
30,-26606.716684991443,-33237.948662531635,-26606.77235506254,50
31,-26606.71675097086,-26675.21387926812,-26606.7304249025,50
32,-26606.716684991527,-30624.11471091591,-26608.236219298087,50
33,-26606.71668500842,-29375.606780263548,-26606.75406594448,50
34,-26606.7166849916,-27560.2553128544,-26606.80404285081,50
35,-26606.716684992065,-29179.07500990092,-26606.721038182422,50
36,-26606.71668499165,-26989.59246236968,-26606.72997056551,50
37,-26606.716684997,-30289.33409452551,-26606.72548605949,50
38,-26606.71668499144,-27175.88935786922,-26606.87072443229,50
39,-26606.716684991457,-28296.713500753613,-26606.77388471368,50
40,-36621.09798943723,-55296.06690192018,-36621.19015150197,100
41,-36621.09798943776,-36812.780213547965,-36621.22356916285,100
42,-36621.09798943703,-41065.30205379752,-36621.120710248855,100
43,-36621.09798943919,-42482.68719395718,-36621.45358286578,100
44,-36621.0979894445,-51044.671463880215,-36621.25739327991,100
45,-36621.09798943822,-46848.037680519206,-36621.26994746964,100
46,-36621.09798943708,-50957.36244241344,-36621.10975430452,100
47,-36621.0979894394,-48903.961696179496,-36621.21541518326,100
48,-36621.09798946499,-48969.0884568661,-36621.171975393045,100
49,-36621.097989438254,-41190.15951613691,-36621.22023673551,100
50,-36621.09798943756,-44645.6289814835,-36621.302662714144,100
51,-36621.09798945574,-38381.109771232965,-36621.6820758906,100
52,-36621.09798948506,-41764.69309301673,-36621.17225192101,100
53,-36621.09798943713,-39954.489593121885,-36621.16684073805,100
54,-36621.09798943745,-42798.77632014567,-36621.1012876442,100
55,-36621.097989436654,-46760.96772699319,-36621.11579891966,100
56,-36621.09798943667,-42286.131661561165,-36621.23634847269,100
57,-36621.09798943807,-47841.7542258054,-36621.40122656281,100
58,-36621.097989437534,-36635.7791022709,-36621.11058007589,100
59,-36621.09798943715,-40090.35242727336,-36621.24602017598,100
60,-49518.65037647568,-111083.72023766114,-49515.38667958578,500
61,-49517.32978174421,-51183.77499182102,-49517.80599671716,500
62,-49529.47397052637,-55348.16355331956,-49514.16277718342,500
63,-49514.180682805294,-64676.0233524885,-49514.29894378547,500
64,-49522.081323301456,-88580.82557993729,-49538.55131556795,500
65,-49517.67970631948,-87222.50995339075,-49514.997618960246,500
66,-49544.87405662913,-126010.59192681522,-49514.13245427918,500
67,-49514.94969687299,-79064.85794278205,-49515.02564157524,500
68,-49545.76979646033,-79219.04562425998,-49514.22752121937,500
69,-49514.84363877295,-59379.34833101279,-49517.99204145767,500
70,-49515.96897628217,-69486.89813183685,-49516.296326696414,500
71,-49514.66465801421,-50866.24945466813,-49524.005227103895,500
72,-49514.385576925015,-64270.27350030032,-49514.68886843724,500
73,-49515.41532443592,-59113.73033646752,-49514.505035559545,500
74,-49521.66295764784,-65365.57747215144,-49514.24811433814,500
75,-49518.27388225336,-76107.47551893555,-49514.24546724413,500
76,-49524.1765423967,-65515.456792237324,-49514.156372705926,500
77,-49520.22161421394,-89528.83657438554,-49514.309899609616,500
78,-49515.86287877522,-49887.61600977463,-49514.26738690824,500
79,-49515.254521826006,-60742.64871893657,-49514.85126090336,500
